before_stopword,after_stopword
"['sungguh', 'aku', 'tak', 'bisa', 'sampai', 'kapan', 'pun', 'tak', 'bisa', 'membenci', 'dirimu', 'sesungguhnya', 'aku', 'tak', 'mampu', 'sulit', 'untuk', 'ku', 'bisa', 'sangat', 'sulit', 'ku', 'tak', 'bisa', 'memisahkan', 'segala', 'cinta', 'dan', 'benci', 'yang', 'ku', 'rasa', 'oh', 'antara', 'cinta', 'dan', 'benci', 'ggmu', 'geisha', 'onanaout', 'amorin']",sungguh membenci dirimu sesungguhnya sulit ku sulit ku memisahkan cinta benci ku oh cinta benci ggmu geisha onanaout amorin
"['woi', 'itu', 'klub', 'sebelah', 'habis', 'kambek', 'yang', 'dipost', 'emyu', 'mulu', 'wkwkk']",woi klub sebelah habis kambek dipost emyu mulu wkwkk
"['tengok', 'sedikit', 'keadaan', 'manchester', 'united', 'emyu', 'manchesterunited']",tengok manchester united emyu manchesterunited
"['buat', 'milwall', 'bristol', 'city', 'dan', 'norwich', 'siapsiap', 'klean', 'menghadapi', 'emyu', 'di', 'championship', 'musim', 'depan', 'superlive', 'supersoccer', 'inirasanyasuper', 'manchesterunited']",milwall bristol city norwich siapsiap klean menghadapi emyu di championship musim superlive supersoccer inirasanyasuper manchesterunited
"['wkwkwkw', 'memang', 'enak', 'bau', 'eek', 'ayam']",wkwkwkw enak bau eek ayam
"['buat', 'milwall', 'bristol', 'city', 'dan', 'norwich', 'siapsiap', 'klean', 'menghadapi', 'emyu', 'di', 'championship', 'musim', 'depan', 'superlive', 'supersoccer', 'inirasanyasuper', 'manchesterunited']",milwall bristol city norwich siapsiap klean menghadapi emyu di championship musim superlive supersoccer inirasanyasuper manchesterunited
"['sudah', 'tau', 'kok', 'bakal', 'kalah', 'lagi', 'saatnya', 'eth', 'out', 'lah', 'sama', 'top', 'kalah', 'sama', 'yang', 'mid', 'table', 'draw', 'menang', 'sama', 'kelab', 'bawah', 'mu', 'hanya', 'mediocre', 'club']",tau kalah eth out top kalah mid table draw menang kelab mu mediocre club
"['what', 'max', 'actually', 'said', 'tapi', 'kdb', 'eh', 'kocak', 'coba', 'lu', 'belah', 'dada', 'gua', 'dan', 'lu', 'lihat', 'isinya', 'apaan', 'isinya', 'manchester', 'united', 'itu', 'artinya', 'gua', 'cinta', 'manchester', 'united', 'manchester', 'united', 'till', 'i', 'die', 'paham', 'lu']",what max actually said kdb eh kocak coba lu belah dada gua lu lihat isinya isinya manchester united gua cinta manchester united manchester united till i die paham lu
"['langsung', 'saja', 'pialanya', 'kasih', 'ke', 'king', 'emyu']",langsung pialanya kasih ke king emyu
"['awokokokok', 'asyu', 'ini', 'tim']",awokokokok asyu tim
"['mending', 'kontrak', 'aji', 'santoso', 'saja']",mending kontrak aji santoso
"['uburubur', 'ikan', 'lele', 'kapan', 'lagi', 'juara', 'epl', 'boleh']",uburubur ikan lele juara epl
"['sesuai', 'hastag', 'mu', 'tottenham']",sesuai hastag mu tottenham
"['ra', 'persis', 'ra', 'mu', 'podo', 'podo', 'goblokee', 'wkwk']",ra persis ra mu podo podo goblokee wkwk
"['klub', 'bodoh']",klub bodoh
"['bapuknya', 'emyu', 'tetap', 'dianggap', 'sebagai', 'salah', 'satu', 'yang', 'terbesar']",bapuknya emyu dianggap salah terbesar
"['teh', 'kayu', 'bajakah', 'kalimantan', 'kualitas', 'terbaik', 'herbal', 'kayu', 'akar', 'bajakah', 'asli', 'sehatin', 'makanan', 'amp']",teh kayu bajakah kalimantan kualitas terbaik herbal kayu akar bajakah asli sehatin makanan amp
"['daftar', 'para', 'pemain', 'legend', 'yang', 'akan', 'ikut', 'serta', 'dalam', 'laga', 'manchester', 'united', 'legends', 'vs', 'celtic', 'legends', 'manchesterunited', 'kingemyu']",daftar pemain legend laga manchester united legends vs celtic legends manchesterunited kingemyu
"['emyu', 'sekarang', 'sepele']",emyu sepele
"['lu', 'menonton', 'enggak', 'kalau', 'bukan', 'onana', 'tadi', 'sudah', 'di', 'bantai', 'kosong']",lu menonton onana di bantai kosong
"['hadehh', 'min']",hadehh min
"['dari', 'tim', 'di', 'liga', 'europa', 'manchester', 'united', 'adalah', 'satusatunya', 'tim', 'yang', 'tak', 'terkalahkan', 'king', 'emyu', 'is', 'back', 'unitedicon', 'mufc', 'uel']",tim di liga europa manchester united satusatunya tim terkalahkan king emyu is back unitedicon mufc uel
