before_stopword,after_stopword
"['diluar', 'kontek', 'video', 'enggak', 'juga', 'mengiyakan', 'yang', 'divideo', 'tapi', 'fan', 'emyu', 'yang', 'menbedakan', 'first', 'division', 'sama', 'pl', 'beda', 'itu', 'jelas', 'fan', 'culas', 'sih', 'kepengen', 'superior', 'tidak', 'mau', 'disaingi', 'kalo', 'mau', 'kekeh', 'bilang', 'beda', 'harusnya', 'timnya', 'dulu', 'jangan', 'pak']",diluar kontek video mengiyakan divideo fan emyu menbedakan first division pl beda fan culas sih kepengen superior disaingi kalo kekeh bilang beda timnya
"['mode', 'turnamen', 'nih', 'bos']",mode turnamen nih bos
"['terlalu', 'bersemangat', 'jokowibaktiuntuknegeri', 'muntot', 'ten', 'hag', 'indonesiangp', 'salmaronyatsparklingtourism', 'emyu', 'atleti', 'vini', 'dalot', 'mandalika', 'besok', 'senin', 'preman', 'manchester', 'united', 'palmer', 'polisi', 'spurs', 'syaikhu', 'ilham', 'minggu', 'korek', 'indoxl', 'indoxl']",bersemangat jokowibaktiuntuknegeri muntot ten hag indonesiangp salmaronyatsparklingtourism emyu atleti vini dalot mandalika besok senin preman manchester united palmer polisi spurs syaikhu ilham minggu korek indoxl indoxl
"['satu', 'satunya', 'cara', 'buat', 'emyu', 'menjadi', 'tim', 'yang', 'epl', 'contender', 'adalah', 'ganti', 'kapten', 'bangsat', 'bruno', 'sejago', 'jagonya', 'dia', 'main', 'enggak', 'akan', 'pernah', 'pantas', 'jadi', 'kapten', 'seumur', 'umur', 'gua', 'menonton', 'dia', 'kagak', 'pernah', 'lihat', 'dia', 'kagak', 'ngeluh', 'ke', 'wasit', 'atau', 'ke', 'temannya', 'sendiri', 'tahi']",satunya emyu tim epl contender ganti kapten bangsat bruno sejago jagonya main kapten seumur umur gua menonton kagak lihat kagak ngeluh ke wasit ke temannya tahi
"['oke', 'pemuja', 'buta', 'emyu', 'pecundang']",oke pemuja buta emyu pecundang
"['pens', 'emyu']",pens emyu
"['saatnya', 'mengeluarkan', 'jurus', 'terakhir', 'emyu', 'manchesterunited']",mengeluarkan jurus emyu manchesterunited
"['musim', 'lalu', 'karena', 'klopp', 'mendadak', 'memutuskan', 'cabut', 'ditengah', 'musim', 'pemain', 'ya', 'pada', 'syok', 'lah', 'ditambah', 'kalah', 'lawan', 'emyu', 'di', 'fa', 'cup', 'kalo', 'saja', 'musim', 'lalu', 'klopp', 'memutuskan', 'cabutnya', 'pas', 'akhir', 'musim', 'mungki']",musim klopp mendadak memutuskan cabut ditengah musim pemain ya syok ditambah kalah lawan emyu di fa cup kalo musim klopp memutuskan cabutnya pas musim mungki
"['gue', 'bulan', 'fan', 'mu', 'tapi', 'prefer', 'menonton', 'mu', 'kalo', 'ada', 'arsenal', 'liverpool', 'citi', 'yang', 'main', 'barengan', 'kok', 'mainya', 'lawak', 'banyak', 'salah', 'passing', 'zirkzee', 'dkk']",gue fan mu prefer menonton mu kalo arsenal liverpool citi main barengan mainya lawak salah passing zirkzee dkk
"['sarang', 'maduku', 'madu', 'asli', 'madu', 'murni', 'madu', 'asli', 'tanpa', 'campuran', 'raw', 'honey', 'manchester', 'united', 'emyu', 'mu', 'senin', 'subuh', 'kalah', 'onana', 'atleti', 'madrid', 'barca', 'vini', 'ugarte', 'korbanmulyono', 'herbal', 'epl', 'kelihatan']",sarang maduku madu asli madu murni madu asli campuran raw honey manchester united emyu mu senin subuh kalah onana atleti madrid barca vini ugarte korbanmulyono herbal epl
"['bismillah', 'jadi', 'wali', 'jalur', 'fan', 'emyu', 'bibarkatil', 'manchester', 'united']",bismillah wali jalur fan emyu bibarkatil manchester united
"['manchester', 'united', 'akan', 'mengenakan', 'jersey', 'ketiga', 'mereka', 'dilaga', 'melawan', 'crystal', 'palace', 'manchesterunited', 'kingemyu']",manchester united mengenakan jersey ketiga dilaga melawan crystal palace manchesterunited kingemyu
"['ya', 'begitu', 'deh', 'resiko', 'kiper', 'punya', 'tangan', 'pendek']",ya deh resiko kiper tangan pendek
"['kontrak', 'onana', 'di', 'mu', 'akan', 'berakhir', 'penderitaan', 'fan', 'emyu', 'berlanjut', 'setidaknya', 'tahun', 'lagi', 'manchesterunited', 'manutd', 'onana']",kontrak onana di mu penderitaan fan emyu berlanjut manchesterunited manutd onana
"['ft', 'manchester', 'united', 'aston', 'villa', 'duaduanya', 'katro', 'mainnya', 'berharap', 'emyu', 'menang', 'adalah', 'keniscayaan', 'yang', 'fana', 'mufc', 'unitedicon']",ft manchester united aston villa duaduanya katro mainnya berharap emyu menang keniscayaan fana mufc unitedicon
"['bodo', 'amat', 'eweuh', 'sih', 'eta', 'eleh', 'aya', 'eleh']",bodo eweuh sih eta eleh aya eleh
"['memang', 'pantas', 'kalah', 'mainnya', 'jelek', 'semuajancuukk']",kalah mainnya jelek semuajancuukk
"['jadwal', 'liga', 'inggris', 'akhir', 'pekan', 'ini', 'ada', 'laga', 'emyu', 'dan', 'manchester', 'city', 'dan', 'juga', 'link', 'live', 'streamingnya', 'kebet', 'langsung', 'di', 'link', 'ini', 'manchesterunited', 'ligainggris']",jadwal liga inggris pekan laga emyu manchester city link live streamingnya kebet langsung di link manchesterunited ligainggris
"['saatnya', 'mengeluarkan', 'jurus', 'terakhir', 'emyu', 'manchesterunited']",mengeluarkan jurus emyu manchesterunited
"['hari', 'ini', 'awakku', 'sedang', 'meriang', 'dan', 'butuh', 'hiburan', 'juga', 'kang', 'jadi', 'demi', 'mencari', 'hal', 'yang', 'menghibur', 'saya', 'buka', 'chanel', 'youtube', 'manchester', 'united', 'dan', 'melihat', 'highlights', 'mu', 'vs', 'liverpool', 'alhamdulillah', 'jadi', 'terhibur', 'terimakasih', 'emyu']",awakku meriang butuh hiburan kang mencari menghibur buka chanel youtube manchester united highlights mu vs liverpool alhamdulillah terhibur terimakasih emyu
"['raja', 'liga', 'inggris', 'atau', 'premier', 'league', 'kalo', 'liga', 'inggris', 'tinggal', 'tunggu', 'beberapa', 'bulan', 'lagi', 'ada', 'yang', 'imbangin']",raja liga inggris premier league kalo liga inggris tinggal tunggu imbangin
"['jann', 'terae', 'mendo']",jann terae mendo
"['siapa', 'suruh', 'pakai', 'baju', 'merah', 'yang', 'merah', 'di', 'tanggal', 'september', 'kalah', 'bos', 'september', 'aka', 'gspki']",suruh pakai baju merah merah di tanggal september kalah bos september aka gspki
"['emyu', 'dan', 'siti', 'malam', 'ini', 'manchesterunited', 'manchestercity']",emyu siti malam manchesterunited manchestercity
"['sulitnya', 'onana', 'ada', 'klausul', 'minimal', 'jumlah', 'bermain', 'di', 'epl', 'sulit', 'jadinya', 'buat', 'di', 'otak', 'atik', 'kalo', 'uel', 'atau', 'di', 'cup', 'masih', 'bisa', 'dipasang', 'bayindir']",sulitnya onana klausul minimal bermain di epl sulit di otak atik kalo uel di cup dipasang bayindir
"['alhamdulillah', 'telah', 'kita', 'tamatkan', 'game', 'relay', 'emyu', 'kalah', 'ini', 'semoga', 'akun', 'kalian', 'aman', 'sentosa', 'sakinah', 'mawaddah', 'wadidaw']",alhamdulillah tamatkan game relay emyu kalah semoga akun aman sentosa sakinah mawaddah wadidaw
"['lah', 'liga', 'cuma', 'buat', 'mainanya', 'el', 'goat', 'gasing']",liga mainanya el goat gasing
"['bagaimana', 'kabar', 'pagi', 'ini', 'ya', 'fan', 'emyu']",kabar pagi ya fan emyu
"['mengira', 'di', 'nya', 'dongo']",di nya dongo
"['ekspresi', 'jujur', 'fan', 'emyu', 'melihat', 'penampilan', 'el', 'kebab', 'manchesterunited']",ekspresi jujur fan emyu penampilan el kebab manchesterunited
"['kalo', 'ada', 'mah', 'gol', 'emyu', 'menit', 'terakhir', 'kagak', 'sah', 'karena', 'offside']",kalo mah gol emyu menit kagak sah offside
"['melihat', 'dari', 'kerja', 'ineos', 'di', 'bursa', 'transfer', 'dan', 'manajemen', 'manchester', 'united', 'setidaknya', 'ini', 'akan', 'membuat', 'erik', 'ten', 'hag', 'harus', 'membuat', 'manunited', 'kembali', 'ke', 'jalur', 'yang', 'benar', 'jika', 'sampai', 'kejadian', 'musim', 'lalu', 'terulang', 'maka', 'ten', 'hag', 'akan', 'dipecat', 'di', 'akhir', 'musim', 'atau', 'bisa', 'lebih', 'cepat']",kerja ineos di bursa transfer manajemen manchester united erik ten hag manunited ke jalur kejadian musim terulang ten hag dipecat di musim cepat
"['sabar', 'koh', 'mau', 'diganti', 'sama', 'allegri']",sabar koh diganti allegri
"['semoga', 'mainnya', 'pada', 'benar', 'nanti', 'terutama', 'buat', 'onana']",semoga mainnya onana
"['bagus', 'dilanjutkan', 'untuk', 'musim', 'kedepan', 'ini', 'pelatih', 'lumayan', 'bisa', 'bawa', 'kita', 'juara', 'divisi', 'championship']",bagus dilanjutkan musim kedepan pelatih lumayan bawa juara divisi championship
"['saran', 'gue', 'mending', 'bubar', 'dari', 'liga', 'inggris', 'terus', 'masuk', 'liga', 'indonesia', 'karuan', 'lawan', 'persita', 'daripada', 'totenham']",saran gue mending bubar liga inggris masuk liga indonesia karuan lawan persita totenham
"['pemain', 'manchester', 'united', 'yang', 'berlaga', 'di', 'jeda', 'internasional', 'telah', 'kembali', 'semua', 'dengan', 'keadaan', 'tanpa', 'cidera', 'manchesterunited', 'kingemyu']",pemain manchester united berlaga di jeda internasional cidera manchesterunited kingemyu
"['degradasi', 'dulu', 'saja', 'bang', 'jangan', 'dipaksain']",degradasi bang dipaksain
['memalukan'],memalukan
"['sejarah', 'mulu', 'yang', 'di', 'bahas']",sejarah mulu di bahas
"['sudah', 'enggak', 'angker', 'lagi', 'kah', 'oldtrafford', 'habis', 'diruqyah']",angker kah oldtrafford habis diruqyah
"['tekanan', 'bertubi', 'tubi', 'yang', 'buat', 'manchester', 'united', 'pecat', 'eric', 'tenhag', 'emyu']",tekanan bertubi tubi manchester united pecat eric tenhag emyu
"['mau', 'dong', 'kakak']",kakak
"['ternyata', 'dosennya', 'skorskit', 'manchesterunited', 'emyu', 'footballfunny']",dosennya skorskit manchesterunited emyu footballfunny
"['mana', 'yang', 'bilang', 'sancho', 'keluar', 'dari', 'emyu', 'pasti', 'bagus']",bilang sancho emyu bagus
['berad'],berad
"['manchester', 'united', 'mu', 'kembali', 'telan', 'kekalahan', 'takluk', 'dari', 'wolves', 'pekan', 'ke', 'liga', 'inggris', 'dengan', 'skor', 'di', 'stadion', 'molineux', 'jumat', 'dini', 'hari', 'wib', 'posting', 'ini', 'sambil', 'enggak', 'enak', 'ati', 'ke', 'fan', 'emyu']",manchester united mu telan kekalahan takluk wolves pekan ke liga inggris skor di stadion molineux jumat wib posting enak ati ke fan emyu
"['ngocoko', 'nek', 'wet', 'manggis']",ngocoko nek wet manggis
"['sama', 'dok', 'pikiran', 'gue', 'cuma', 'bisa', 'besar', 'saja', 'sudah', 'sisanya', 'bonus', 'sampai', 'sekarang', 'cuma', 'kesel', 'saja', 'tadi', 'pemain', 'tengahnya', 'kayak', 'fefek', 'semua', 'hahaha', 'deh', 'move', 'on', 'ah', 'yang', 'penting', 'musim', 'ini', 'enggak', 'di', 'kalahin', 'emyu', 'saja', 'wkwkw']",dok pikiran gue sisanya bonus kesel pemain tengahnya kayak fefek hahaha deh move on ah musim di kalahin emyu wkwkw
"['palingan', 'ya', 'sctv', 'nayangin', 'nama', 'dan', 'saham', 'emyu', 'bukan', 'kaleng', 'kaleng', 'bos', 'meskipun', 'terdegradasi', 'atau', 'yang', 'terburuk', 'internal', 'nya', 'dirubah', 'semua', 'nama', 'manchester', 'united', 'akan', 'selalu', 'mendunia']",palingan ya sctv nayangin nama saham emyu kaleng kaleng bos terdegradasi terburuk internal nya dirubah nama manchester united mendunia
"['wkwk', 'lucu', 'banget', 'mulai', 'cape', 'kah', 'jadi', 'fan', 'emyu']",wkwk lucu banget cape kah fan emyu
"['admin', 'anjing']",admin anjing
"['cukup', 'dengan', 'misuh', 'misuh', 'mengetik', 'emyu', 'goblok', 'bapukk', 'di', 'twitter', 'sudah', 'bikin', 'lega']",misuh misuh mengetik emyu goblok bapukk di twitter bikin lega
"['mengira', 'yang', 'tumbang', 'cuma', 'pohon']",tumbang pohon
"['live', 'update', 'manchester', 'united', 'vs', 'brentford', 'garnacho', 'amp']",live update manchester united vs brentford garnacho amp
"['hastagnya', 'bagus', 'mu', 'tottenham', 'ahahah']",hastagnya bagus mu tottenham ahahah
"['ft', 'liga', 'inggris', 'wolves', 'manchester', 'united', 'm', 'cunha', 'h', 'hwang', 'bruno', 'fernandes', 'emyu', 'butut', 'epl', 'premierleague', 'boxingday']",ft liga inggris wolves manchester united m cunha h hwang bruno fernandes emyu butut epl premierleague boxingday
"['di', 'emyu', 'tidak', 'begitu']",di emyu
"['tapi', 'lebih', 'sering', 'dnya', 'dongo']",dnya dongo
"['saya', 'fan', 'emyu', 'rela', 'chelsea', 'yang', 'juara', 'dari', 'pada', 'liverpool', 'premierleague', 'chelseafc', 'liverpool', 'manchesterunited']",fan emyu rela chelsea juara liverpool premierleague chelseafc liverpool manchesterunited
"['tanggal', 'emyu', 'imbang', 'tanggal', 'emyu', 'kalah', 'tanggal', 'emyu', 'kalah', 'mufc', 'manchesterunited', 'amorim', 'brunofernandes', 'onana']",tanggal emyu imbang tanggal emyu kalah tanggal emyu kalah mufc manchesterunited amorim brunofernandes onana
"['juventus', 'akan', 'jorjoran', 'untuk', 'sancho', 'setelah', 'chiesa', 'resmi', 'deal', 'ke', 'liverpool', 'bismilah', 'here', 'we', 'go', 'hari', 'ini', 'manchesterunited', 'sancho', 'kingemyu']",juventus jorjoran sancho chiesa resmi deal ke liverpool bismilah here we go manchesterunited sancho kingemyu
"['apaan', 'beb', 'terakhir', 'kali', 'di', 'akun', 'premier', 'league', 'dia', 'bilang', 'dia', 'fan', 'emyu', 'memang', 'karbit', 'ini', 'oranf']",beb kali di akun premier league bilang fan emyu karbit oranf
"['debut', 'bersama', 'timnas', 'pusat', 'belanda', 'goal', 'assist', 'shots', 'chances', 'created', 'boleh', 'lah', 'dipinjam', 'buat', 'hari', 'selasa', 'melawan', 'australia', 'manchesterunited', 'zirkzee', 'kingemyu']",debut timnas pusat belanda goal assist shots chances created dipinjam selasa melawan australia manchesterunited zirkzee kingemyu
"['lelaki', 'tidak', 'bercerita', 'mancity', 'manchesterunited', 'emyu', 'chelsea', 'amorim', 'bruno', 'mufc']",lelaki bercerita mancity manchesterunited emyu chelsea amorim bruno mufc
"['selesai', 'dan', 'bobrok']",selesai bobrok
"['ft', 'manchester', 'united', 'liverpool', 'enggak', 'banyak', 'berkatakata', 'yang', 'jelas', 'ada', 'slotball', 'yang', 'kembali', 'sukses', 'match', 'win', 'goal', 'kebobolan', 'badut', 'emyu', 'kembali', 'mengasih', 'hiburan', 'buat', 'kita', 'liverpoolfc', 'liverpool', 'manchesterunited', 'manutd', 'premierleague']",ft manchester united liverpool berkatakata slotball sukses match win goal kebobolan badut emyu mengasih hiburan liverpoolfc liverpool manchesterunited manutd premierleague
"['pasang', 'saja', 'onana', 'terus']",pasang onana
['hobi'],hobi
"['ah', 'alah', 'kalah', 'lagi']",ah alah kalah
"['kalah', 'lawan', 'bango', 'itu', 'biasa', 'tiap', 'tahun', 'juga', 'dibantai', 'lah', 'kalah', 'lawan', 'ayam', 'sayur', 'hina', 'sekali', 'emyu', 'sekarang']",kalah lawan bango dibantai kalah lawan ayam sayur hina emyu
"['resmi', 'trebel', 'hanya', 'di', 'pegang', 'emyu', 'dan', 'city', 'lessgo']",resmi trebel di pegang emyu city lessgo
"['emyu', 'barca', 'mint']",emyu barca mint
"['wkwk', 'benar', 'bang', 'klub', 'goblok', 'deh', 'itu', 'gadak', 'yang', 'bisa', 'dibanggain']",wkwk bang klub goblok deh gadak dibanggain
"['gembul', 'elkan', 'baggot', 'saja', 'cyakk']",gembul elkan baggot cyakk
"['selesai', 'tuh', 'emyu', 'menunggu', 'opini', 'lawyernya', 'hag']",selesai tuh emyu menunggu opini lawyernya hag
"['bukti', 'cintaku', 'sama', 'emyu']",bukti cintaku emyu
"['katanya', 'kita', 'bisa', 'memulai', 'senin', 'dengan', 'bersyukur', 'saya', 'bersyukur', 'saya', 'masih', 'punya', 'hal', 'yang', 'selalu', 'membuat', 'diri', 'menapak', 'ke', 'bumi', 'yang', 'selalu', 'mengajarkan', 'bahwa', 'hidup', 'tidak', 'sempurna', 'yang', 'mengingatkan', 'akan', 'rasa', 'kecewa', 'saya', 'bersyukur', 'atas', 'kamu', 'bangamp']",senin bersyukur bersyukur menapak ke bumi mengajarkan hidup sempurna kecewa bersyukur bangamp
"['mending', 'mainin', 'pemain', 'full', 'akademinya', 'saja', 'kalo', 'degradasi', 'jadi', 'enggak', 'malu', 'malu', 'amat']",mending mainin pemain full akademinya kalo degradasi malu malu
"['iya', 'begitu', 'emyu', 'emyu', 'persib', 'persib', 'timnas', 'timnas', 'aw', 'serunyo', 'nobartribun', 'date', 'terus', 'mau', 'satu', 'dong']",iya emyu emyu persib persib timnas timnas aw serunyo nobartribun date
"['mu', 'kenapa', 'jadi', 'begini', 'setelah', 'alex', 'ferguson', 'retired', 'jadi', 'bapuk', 'banget', 'deh']",mu alex ferguson retired bapuk banget deh
"['kalah', 'boleh', 'tetap', 'sombong', 'enggak']",kalah sombong
"['sori', 'aku', 'mengetik', 'fakta', 'fan', 'king', 'emyu', 'tuh', 'cakep', 'cakep']",sori mengetik fakta fan king emyu tuh cakep cakep
"['teddy', 'sheringham', 'tentang', 'erik', 'ten', 'hag', 'apakah', 'dia', 'akan', 'tetap', 'berada', 'di', 'manunited', 'hingga', 'akhir', 'musim', 'saya', 'rasa', 'tidak', 'dia', 'akan', 'pergi', 'di', 'waktu', 'natal', 'manchesterunited', 'kingemyu']",teddy sheringham erik ten hag di manunited musim pergi di natal manchesterunited kingemyu
"['ini', 'subjektif', 'saja', 'urutkan', 'klub', 'terbesar', 'versi', 'lo', 'manchester', 'united', 'emyu', 'mu', 'enggak', 'usah', 'pakai', 'data', 'dan', 'fakta', 'menurut', 'lo', 'pribadi', 'saja']",subjektif urutkan klub terbesar versi lo manchester united emyu mu pakai data fakta lo pribadi
"['galakramah', 'wkwkwkwkwk']",galakramah wkwkwkwkwk
"['mana', 'kesombongannya']",kesombongannya
"['hasil', 'akhir', 'manchester', 'united', 'brentford', 'emyu', 'ada', 'di', 'peringkat', 'ke', 'klasemen', 'sementara', 'liga', 'primer', 'inggris', 'dengan', 'poin', 'dari', 'pertandingan', 'kali', 'menang', 'kali', 'seri', 'dan', 'kali', 'kalah', 'munbre']",hasil manchester united brentford emyu di peringkat ke klasemen liga primer inggris poin pertandingan kali menang kali seri kali kalah munbre
"['jangan', 'lupakan', 'juga', 'pemain', 'mu', 'yang', 'selamat', 'tapi', 'enggak', 'bisa', 'main', 'bola', 'lagi', 'karena', 'cacat', 'seumur', 'hidup']",lupakan pemain mu selamat main bola cacat seumur hidup
"['wkwkw', 'mancing']",wkwkw mancing
"['tapi', 'lebih', 'sering', 'dnya', 'dongo']",dnya dongo
"['memalukan', 'red', 'devils', 'kalah', 'telak', 'di', 'old', 'trafford']",memalukan red devils kalah telak di old trafford
"['iya', 'begitu', 'emyu', 'emyu', 'persib', 'persib', 'timnas', 'timnas', 'aw', 'serunyo', 'nobartribun', 'date', 'terus', 'mau', 'satu', 'dong']",iya emyu emyu persib persib timnas timnas aw serunyo nobartribun date
"['mana', 'yang', 'bilang', 'sancho', 'keluar', 'dari', 'emyu', 'pasti', 'bagus']",bilang sancho emyu bagus
"['balbalan', 'cap', 'tahi']",balbalan cap tahi
"['tidur', 'nyenyak', 'fan', 'emyu', 'manchesterunited']",tidur nyenyak fan emyu manchesterunited
"['juventus', 'telah', 'mundur', 'dalam', 'negosiasi', 'jadon', 'sancho', 'sepertinya', 'tidak', 'akan', 'ada', 'drama', 'deadline', 'day', 'transfer', 'dan', 'sancho', 'akan', 'bertahan', 'musim', 'ini', 'manchesterunited', 'sancho', 'kingemyu']",juventus mundur negosiasi jadon sancho drama deadline day transfer sancho bertahan musim manchesterunited sancho kingemyu
"['awas', 'saja', 'nglawak', 'njing', 'onana']",awas nglawak njing onana
['kasihan'],kasihan
"['muntot', 'dibaca', 'jadi', 'emyu', 'tottenham', 'main', 'nya', 'jelek', 'banget', 'sat']",muntot dibaca emyu tottenham main nya jelek banget sat
"['stikernya', 'martinez']",stikernya martinez
"['mane', 'yang', 'benar', 'ya']",mane ya
"['fulltime', 'brace', 'amp']",fulltime brace amp
"['gelandang', 'dengan', 'atribut', 'paling', 'lengkap', 'long', 'pass', 'bisa', 'carry', 'the', 'ball', 'bisa', 'shooting', 'gaperlu', 'diragukan', 'benerbener', 'pengatur', 'tempo', 'pada', 'saat', 'itu', 'sayang', 'banget', 'emyu', 'sekarang', 'enggak', 'punya', 'gelandang', 'kayak', 'begini', 'lagi']",gelandang atribut lengkap long pass carry the ball shooting gaperlu diragukan benerbener pengatur tempo sayang banget emyu gelandang kayak
"['kalem', 'die', 'pas', 'debut', 'di', 'emyu', 'skor', 'game', 'berturutturut', 'wkwk']",kalem die pas debut di emyu skor game berturutturut wkwk
"['makan', 'tahi', 'lu', 'munyuk']",makan tahi lu munyuk
"['mau', 'dong', 'nay', 'gua', 'juga', 'fan', 'emyu', 'soalnya']",nay gua fan emyu
"['bakalan', 'emyu', 'siti', 'kali', 'beruntun']",emyu siti kali beruntun
"['rusak', 'karir', 'dia', 'kalo', 'ke', 'emyu']",rusak karir kalo ke emyu
"['myu', 'masuk', 'di', 'detik', 'akhir']",myu masuk di detik
"['mungkin', 'harus', 'nunggu', 'belasan', 'bahkan', 'puluhan', 'tahun', 'lagi', 'buat', 'lihat', 'manchester', 'united', 'berjaya', 'buat', 'lihat', 'manchester', 'united', 'bukan', 'emyu']",nunggu belasan puluhan lihat manchester united berjaya lihat manchester united emyu
"['manchester', 'united', 'akan', 'mengenakan', 'jersey', 'ketiga', 'mereka', 'dilaga', 'melawan', 'crystal', 'palace', 'manchesterunited', 'kingemyu']",manchester united mengenakan jersey ketiga dilaga melawan crystal palace manchesterunited kingemyu
"['ya', 'memang', 'alasan', 'wkwk']",ya alasan wkwk
"['deh', 'ligt', 'dan', 'zirkzee', 'masuk', 'dalam', 'squad', 'belanda', 'untuk', 'jeda', 'internasional', 'manchesterunited', 'deligt', 'zirkzee', 'kingemyu']",deh ligt zirkzee masuk squad belanda jeda internasional manchesterunited deligt zirkzee kingemyu
"['pembukaan', 'dan', 'penutupan', 'nya', 'di', 'lakukan', 'oleh', 'unggas']",pembukaan penutupan nya di lakukan unggas
"['raja', 'liga', 'inggris', 'atau', 'premier', 'league', 'kalo', 'liga', 'inggris', 'tinggal', 'tunggu', 'beberapa', 'bulan', 'lagi', 'ada', 'yang', 'imbangin']",raja liga inggris premier league kalo liga inggris tinggal tunggu imbangin
"['main', 'muter', 'balik', 'ke', 'belakang', 'muter', 'lagi', 'diajari', 'main', 'sama', 'rvn', 'enggak', 'bisa', 'itu', 'pemain', 'main', 'sistemnya', 'amorim']",main muter ke muter diajari main rvn pemain main sistemnya amorim
"['emyu', 'itu', 'apa', 'bisa', 'ditonton']",emyu ditonton
"['list', 'pekerjaan', 'terekstrim', 'di', 'dunia', 'pelatih', 'emyu', 'manager', 'red', 'devils', 'headcoach', 'manchester', 'united']",list pekerjaan terekstrim di dunia pelatih emyu manager red devils headcoach manchester united
['babii'],babii
"['ini', 'zaman', 'jose', 'vs', 'fergusson', 'manchester', 'united', 'vs', 'chelsea', 'wib', 'saksikan', 'livenya', 'jangan', 'sampai', 'ketinggalan', 'kita', 'lihat', 'chelsea', 'bisa', 'ngalahain', 'emyu', 'di', 'oldtrafford', 'atau', 'memang', 'kalah', 'tipis', 'chelsea', 'mufc', 'ggmu']",zaman jose vs fergusson manchester united vs chelsea wib saksikan livenya ketinggalan lihat chelsea ngalahain emyu di oldtrafford kalah tipis chelsea mufc ggmu
['wkwkwkw'],wkwkwkw
"['jadwal', 'bola', 'liga', 'europa', 'jumat', 'november', 'pukul', 'wib', 'sctv', 'manchester', 'united', 'vs', 'paok', 'link', 'sakura', 'bola', 'emyu']",jadwal bola liga europa jumat november wib sctv manchester united vs paok link sakura bola emyu
"['fan', 'mu', 'mana', 'yang', 'tak', 'sakit', 'hati', 'melihat', 'team', 'nya', 'seperti', 'sekarang', 'cepat', 'pulih', 'dan', 'bangkit', 'ggmu']",fan mu sakit hati team nya cepat pulih bangkit ggmu
"['emyu', 'anthony', 'efek', 'pss', 'betik', 'amp']",emyu anthony efek pss betik amp
"['gws', 'licha']",gws licha
"['awali', 'senin', 'mu', 'dengan', 'kekalahan', 'telak']",awali senin mu kekalahan telak
"['habis', 'menonton', 'persib', 'lanjut', 'emyu', 'poin', 'semua', 'inimah', 'persib', 'manchesterunited']",habis menonton persib emyu poin inimah persib manchesterunited
"['semoga', 'saja']",semoga
"['habis', 'menonton', 'persib', 'lanjut', 'emyu', 'poin', 'semua', 'inimah', 'persib', 'manchesterunited']",habis menonton persib emyu poin inimah persib manchesterunited
"['gue', 'bisa', 'cium', 'bakal', 'ada', 'final', 'derby', 'manchester']",gue cium final derby manchester
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['terima', 'kasih', 'gus', 'manutd', 'manchesterunited', 'mufc', 'munliv', 'emyu', 'ggmu', 'ggmu']",terima kasih gus manutd manchesterunited mufc munliv emyu ggmu ggmu
"['ugarte', 'dilaga', 'melawan', 'venezuela', 'manchesterunited', 'ugarte', 'kingemyu']",ugarte dilaga melawan venezuela manchesterunited ugarte kingemyu
"['ubur', 'ubur', 'ikan', 'lele', 'kalah', 'maning', 'boleh']",ubur ubur ikan lele kalah maning
"['ganteng', 'banget', 'jujur']",ganteng banget jujur
"['bahkan', 'tikus', 'old', 'trafford', 'mati', 'karena', 'tau', 'manchester', 'united', 'bangkit', 'dibawah', 'dinasti', 'ruben', 'amorim', 'efek', 'dinasti', 'amorim', 'berkuasa', 'pep', 'guardiola', 'stres', 'belum', 'pernah', 'kalah', 'tikus', 'mati', 'karena', 'emyu', 'bangkit', 'sedang', 'mencari', 'lawan', 'sepadan']",tikus old trafford mati tau manchester united bangkit dibawah dinasti ruben amorim efek dinasti amorim berkuasa pep guardiola stres kalah tikus mati emyu bangkit mencari lawan sepadan
"['sok', 'asik']",sok asik
"['guwendeng', 'guwendeng']",guwendeng guwendeng
"['amorin', 'setelah', 'manchester', 'united', 'menahan', 'imbang', 'tim', 'yang', 'katanya', 'jago', 'itu', 'emyu', 'kurang', 'beruntung', 'saja']",amorin manchester united menahan imbang tim jago emyu beruntung
"['perkenalan', 'ot', 'langsung', 'minn']",perkenalan ot langsung minn
"['kalah', 'di', 'liga', 'kalah', 'di', 'home']",kalah di liga kalah di home
"['emyu', 'tanpa', 'erik', 'ten', 'hag', 'bisa', 'apa', 'bisa', 'menang', 'bos', 'manchesterunited']",emyu erik ten hag menang bos manchesterunited
"['muntot', 'banget']",muntot banget
"['haha', 'pahit', 'kali', 'klausul', 'nya', 'kuat', 'saja', 'menonton', 'sih', 'mager', 'lompat', 'sampai', 'beberapa', 'musim', 'kedepan']",haha pahit kali klausul nya kuat menonton sih mager lompat musim kedepan
"['bubar', 'bubar', 'masuk', 'goa']",bubar bubar masuk goa
"['breaking', 'news', 'klubklub', 'premier', 'league', 'telah', 'mengusulkan', 'agar', 'manchester', 'united', 'didiskualifikasi', 'dari', 'premier', 'league', 'musim', 'ini', 'klub', 'klub', 'inggris', 'merasa', 'king', 'emyu', 'telah', 'berada', 'di', 'level', 'yang', 'berbeda', 'pihak', 'premier', 'league', 'masih', 'm']",breaking news klubklub premier league mengusulkan manchester united didiskualifikasi premier league musim klub klub inggris king emyu di level berbeda premier league m
"['oke', 'gas', 'muatamu']",oke gas muatamu
